27.4, 55.2, 0
28.1, 48.3, 0
27.8, 42.6, 0
29.5, 58.1, 1
26.3, 61.4, 1
27.2, 40.9, 0
28.9, 44.7, 0
25.8, 38.5, 1
30.2, 63.1, 1
27.6, 57.3, 0
28.3, 46.2, 0
29.1, 39.8, 1
27.9, 41.5, 0
26.7, 65.9, 1
27.5, 59.2, 0
28.8, 53.7, 0
29.4, 70.5, 1
27.3, 42.9, 0
28.6, 49.1, 0
26.5, 33.4, 1
27.1, 58.8, 0
29.7, 62.3, 1
27.8, 46.7, 0
28.5, 50.4, 0
25.6, 45.2, 1
30.3, 59.1, 1
27.9, 40.2, 0
28.2, 52.6, 0
26.8, 39.5, 1
27.5, 60.0, 0
29.9, 66.1, 1
27.4, 47.8, 0
28.7, 43.6, 0
26.2, 35.1, 1
27.6, 49.9, 0
28.9, 55.8, 0
30.1, 61.7, 1
27.0, 50.2, 0
28.4, 46.3, 0
29.2, 38.9, 1
27.8, 58.4, 0
26.9, 59.5, 0
27.3, 41.2, 0
29.0, 65.6, 1
28.6, 51.9, 0
27.1, 54.4, 0
30.4, 64.8, 1
27.9, 44.2, 0
28.1, 57.1, 0
26.6, 36.7, 1
29.8, 60.4, 1
27.2, 42.3, 0
28.7, 53.8, 0
25.9, 48.1, 1
30.0, 67.9, 1
27.5, 45.0, 0
28.3, 56.2, 0
26.1, 39.3, 1
29.3, 41.6, 1
27.7, 58.7, 0
28.4, 46.0, 0
26.8, 34.8, 1
27.9, 59.4, 0
29.5, 63.2, 1
28.0, 48.9, 0
27.6, 53.5, 0
25.7, 37.4, 1
30.2, 69.3, 1
28.5, 50.6, 0
27.3, 42.1, 0
26.9, 38.8, 1
29.1, 57.8, 0
27.2, 47.4, 0
28.9, 43.5, 0
29.8, 65.1, 1
27.8, 55.9, 0
26.5, 32.7, 1
28.7, 52.8, 0
27.5, 60.0, 0
25.8, 62.2, 1
29.9, 59.8, 0
28.2, 49.3, 0
27.1, 40.7, 0
30.3, 70.2, 1
26.3, 39.9, 1
27.7, 57.5, 0
28.6, 44.4, 0
26.0, 35.9, 1
